id;titulo;endereco;taxa;Area;quartos;suites;banheiros;vagas;preco;;;;;
57466366;Apartamento com 4 Quartos à Venda, 186m²;Candelária, Natal - RN;R$ 1.000;186;4;3;5;3;R$ 570.000;;;;;
57466368;Casa com 3 Quartos à Venda, 150m²;Lagoa Nova, Natal - RN;;150;3;2;3;4;R$ 370.000;;;;;
57466373;Apartamento com 4 Quartos à Venda, 256m²;Lagoa Nova, Natal - RN;R$ 1.000;256;4;4;6;3;R$ 850.000;;;;;
57466379;Apartamento com 3 Quartos à Venda, 190m²;Capim Macio, Natal - RN;R$ 1.300;190;3;2;4;2;R$ 580.000;;;;;
57466380;Sala/Conjunto    à Venda, 118m²;Tirol, Natal - RN;;118;--;--;--;2;R$ 350.000;;;;;
57466383;Apartamento com 3 Quartos à Venda, 97m²;Petrópolis, Natal - RN;R$ 2;97;3;1;3;2;R$ 520.000;;;;;
57466395;Apartamento com 4 Quartos à Venda, 171m²;Lagoa Nova, Natal - RN;R$ 1,171;4;4;6;4;R$ 1.179.728;;;;;;
57466397;Apartamento com 3 Quartos à Venda, 75m²;Ponta Negra, Natal - RN;R$ 330;75;3;1;2;1;R$ 420.000;;;;;
57466417;Apartamento com 3 Quartos à Venda, 150m²;Ponta Negra, Natal - RN;R$ 850;150;3;2;4;3;R$ 350.000;;;;;
57466419;Apartamento com 4 Quartos à Venda, 222m²;Petrópolis, Natal - RN;R$ 1;222;4;4;6;4;R$ 1.494.360;;;;;
57466429;Apartamento com 3 Quartos à Venda, 180m²;Barro Vermelho, Natal - RN;R$ 920;180;3;1;2;1;R$ 270.000;;;;;
